instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,cnt,Weather Name
1,2011-01-01,1,0,1,0,6,0,2,985,Cloudy
2,2011-01-02,1,0,1,0,0,0,2,801,Cloudy
3,2011-01-03,1,0,1,0,1,1,1,1349,Clear
4,2011-01-04,1,0,1,0,2,1,1,1562,Clear
5,2011-01-05,1,0,1,0,3,1,1,1600,Clear
6,2011-01-06,1,0,1,0,4,1,1,1606,Clear
7,2011-01-07,1,0,1,0,5,1,2,1510,Cloudy
8,2011-01-08,1,0,1,0,6,0,2,959,Cloudy
9,2011-01-09,1,0,1,0,0,0,1,822,Clear
10,2011-01-10,1,0,1,0,1,1,1,1321,Clear
11,2011-01-11,1,0,1,0,2,1,2,1263,Cloudy
12,2011-01-12,1,0,1,0,3,1,1,1162,Clear
13,2011-01-13,1,0,1,0,4,1,1,1406,Clear
14,2011-01-14,1,0,1,0,5,1,1,1421,Clear
15,2011-01-15,1,0,1,0,6,0,2,1248,Cloudy
16,2011-01-16,1,0,1,0,0,0,1,1204,Clear
17,2011-01-17,1,0,1,1,1,0,2,1000,Cloudy
18,2011-01-18,1,0,1,0,2,1,2,683,Cloudy
19,2011-01-19,1,0,1,0,3,1,2,1650,Cloudy
20,2011-01-20,1,0,1,0,4,1,2,1927,Cloudy
21,2011-01-21,1,0,1,0,5,1,1,1543,Clear
22,2011-01-22,1,0,1,0,6,0,1,981,Clear
23,2011-01-23,1,0,1,0,0,0,1,986,Clear
24,2011-01-24,1,0,1,0,1,1,1,1416,Clear
25,2011-01-25,1,0,1,0,2,1,2,1985,Cloudy
26,2011-01-26,1,0,1,0,3,1,3,506,Light Snow/Rain
27,2011-01-27,1,0,1,0,4,1,1,431,Clear
28,2011-01-28,1,0,1,0,5,1,2,1167,Cloudy
29,2011-01-29,1,0,1,0,6,0,1,1098,Clear
30,2011-01-30,1,0,1,0,0,0,1,1096,Clear
31,2011-01-31,1,0,1,0,1,1,2,1501,Cloudy
32,2011-02-01,1,0,2,0,2,1,2,1360,Cloudy
33,2011-02-02,1,0,2,0,3,1,2,1526,Cloudy
34,2011-02-03,1,0,2,0,4,1,1,1550,Clear
35,2011-02-04,1,0,2,0,5,1,2,1708,Cloudy
36,2011-02-05,1,0,2,0,6,0,2,1005,Cloudy
37,2011-02-06,1,0,2,0,0,0,1,1623,Clear
38,2011-02-07,1,0,2,0,1,1,1,1712,Clear
39,2011-02-08,1,0,2,0,2,1,1,1530,Clear
40,2011-02-09,1,0,2,0,3,1,2,1605,Cloudy
41,2011-02-10,1,0,2,0,4,1,1,1538,Clear
42,2011-02-11,1,0,2,0,5,1,1,1746,Clear
43,2011-02-12,1,0,2,0,6,0,1,1472,Clear
44,2011-02-13,1,0,2,0,0,0,1,1589,Clear
45,2011-02-14,1,0,2,0,1,1,1,1913,Clear
46,2011-02-15,1,0,2,0,2,1,1,1815,Clear
47,2011-02-16,1,0,2,0,3,1,1,2115,Clear
48,2011-02-17,1,0,2,0,4,1,1,2475,Clear
49,2011-02-18,1,0,2,0,5,1,1,2927,Clear
50,2011-02-19,1,0,2,0,6,0,1,1635,Clear
51,2011-02-20,1,0,2,0,0,0,1,1812,Clear
52,2011-02-21,1,0,2,1,1,0,2,1107,Cloudy
53,2011-02-22,1,0,2,0,2,1,1,1450,Clear
54,2011-02-23,1,0,2,0,3,1,1,1917,Clear
55,2011-02-24,1,0,2,0,4,1,2,1807,Cloudy
56,2011-02-25,1,0,2,0,5,1,2,1461,Cloudy
57,2011-02-26,1,0,2,0,6,0,1,1969,Clear
58,2011-02-27,1,0,2,0,0,0,1,2402,Clear
59,2011-02-28,1,0,2,0,1,1,2,1446,Cloudy
60,2011-03-01,1,0,3,0,2,1,1,1851,Clear
61,2011-03-02,1,0,3,0,3,1,1,2134,Clear
62,2011-03-03,1,0,3,0,4,1,1,1685,Clear
63,2011-03-04,1,0,3,0,5,1,2,1944,Cloudy
64,2011-03-05,1,0,3,0,6,0,2,2077,Cloudy
65,2011-03-06,1,0,3,0,0,0,2,605,Cloudy
66,2011-03-07,1,0,3,0,1,1,1,1872,Clear
67,2011-03-08,1,0,3,0,2,1,1,2133,Clear
68,2011-03-09,1,0,3,0,3,1,2,1891,Cloudy
69,2011-03-10,1,0,3,0,4,1,3,623,Light Snow/Rain
70,2011-03-11,1,0,3,0,5,1,2,1977,Cloudy
71,2011-03-12,1,0,3,0,6,0,1,2132,Clear
72,2011-03-13,1,0,3,0,0,0,1,2417,Clear
73,2011-03-14,1,0,3,0,1,1,1,2046,Clear
74,2011-03-15,1,0,3,0,2,1,2,2056,Cloudy
75,2011-03-16,1,0,3,0,3,1,2,2192,Cloudy
76,2011-03-17,1,0,3,0,4,1,1,2744,Clear
77,2011-03-18,1,0,3,0,5,1,1,3239,Clear
78,2011-03-19,1,0,3,0,6,0,1,3117,Clear
79,2011-03-20,1,0,3,0,0,0,1,2471,Clear
80,2011-03-21,2,0,3,0,1,1,2,2077,Cloudy
81,2011-03-22,2,0,3,0,2,1,1,2703,Clear
82,2011-03-23,2,0,3,0,3,1,2,2121,Cloudy
83,2011-03-24,2,0,3,0,4,1,2,1865,Cloudy
84,2011-03-25,2,0,3,0,5,1,1,2210,Clear
85,2011-03-26,2,0,3,0,6,0,1,2496,Clear
86,2011-03-27,2,0,3,0,0,0,2,1693,Cloudy
87,2011-03-28,2,0,3,0,1,1,1,2028,Clear
88,2011-03-29,2,0,3,0,2,1,1,2425,Clear
89,2011-03-30,2,0,3,0,3,1,2,1536,Cloudy
90,2011-03-31,2,0,3,0,4,1,3,1685,Light Snow/Rain
91,2011-04-01,2,0,4,0,5,1,2,2227,Cloudy
92,2011-04-02,2,0,4,0,6,0,2,2252,Cloudy
93,2011-04-03,2,0,4,0,0,0,1,3249,Clear
94,2011-04-04,2,0,4,0,1,1,1,3115,Clear
95,2011-04-05,2,0,4,0,2,1,2,1795,Cloudy
96,2011-04-06,2,0,4,0,3,1,1,2808,Clear
97,2011-04-07,2,0,4,0,4,1,1,3141,Clear
98,2011-04-08,2,0,4,0,5,1,2,1471,Cloudy
99,2011-04-09,2,0,4,0,6,0,2,2455,Cloudy
100,2011-04-10,2,0,4,0,0,0,2,2895,Cloudy
101,2011-04-11,2,0,4,0,1,1,2,3348,Cloudy
102,2011-04-12,2,0,4,0,2,1,2,2034,Cloudy
103,2011-04-13,2,0,4,0,3,1,2,2162,Cloudy
104,2011-04-14,2,0,4,0,4,1,1,3267,Clear
105,2011-04-15,2,0,4,1,5,0,1,3126,Clear
106,2011-04-16,2,0,4,0,6,0,3,795,Light Snow/Rain
107,2011-04-17,2,0,4,0,0,0,1,3744,Clear
108,2011-04-18,2,0,4,0,1,1,1,3429,Clear
109,2011-04-19,2,0,4,0,2,1,2,3204,Cloudy
110,2011-04-20,2,0,4,0,3,1,1,3944,Clear
111,2011-04-21,2,0,4,0,4,1,1,4189,Clear
112,2011-04-22,2,0,4,0,5,1,2,1683,Cloudy
113,2011-04-23,2,0,4,0,6,0,2,4036,Cloudy
114,2011-04-24,2,0,4,0,0,0,2,4191,Cloudy
115,2011-04-25,2,0,4,0,1,1,1,4073,Clear
116,2011-04-26,2,0,4,0,2,1,1,4400,Clear
117,2011-04-27,2,0,4,0,3,1,2,3872,Cloudy
118,2011-04-28,2,0,4,0,4,1,2,4058,Cloudy
119,2011-04-29,2,0,4,0,5,1,1,4595,Clear
120,2011-04-30,2,0,4,0,6,0,1,5312,Clear
121,2011-05-01,2,0,5,0,0,0,2,3351,Cloudy
122,2011-05-02,2,0,5,0,1,1,2,4401,Cloudy
123,2011-05-03,2,0,5,0,2,1,2,4451,Cloudy
124,2011-05-04,2,0,5,0,3,1,2,2633,Cloudy
125,2011-05-05,2,0,5,0,4,1,1,4433,Clear
126,2011-05-06,2,0,5,0,5,1,1,4608,Clear
127,2011-05-07,2,0,5,0,6,0,1,4714,Clear
128,2011-05-08,2,0,5,0,0,0,1,4333,Clear
129,2011-05-09,2,0,5,0,1,1,1,4362,Clear
130,2011-05-10,2,0,5,0,2,1,1,4803,Clear
131,2011-05-11,2,0,5,0,3,1,1,4182,Clear
132,2011-05-12,2,0,5,0,4,1,1,4864,Clear
133,2011-05-13,2,0,5,0,5,1,2,4105,Cloudy
134,2011-05-14,2,0,5,0,6,0,2,3409,Cloudy
135,2011-05-15,2,0,5,0,0,0,2,4553,Cloudy
136,2011-05-16,2,0,5,0,1,1,1,3958,Clear
137,2011-05-17,2,0,5,0,2,1,2,4123,Cloudy
138,2011-05-18,2,0,5,0,3,1,2,3855,Cloudy
139,2011-05-19,2,0,5,0,4,1,2,4575,Cloudy
140,2011-05-20,2,0,5,0,5,1,1,4917,Clear
141,2011-05-21,2,0,5,0,6,0,1,5805,Clear
142,2011-05-22,2,0,5,0,0,0,1,4660,Clear
143,2011-05-23,2,0,5,0,1,1,2,4274,Cloudy
144,2011-05-24,2,0,5,0,2,1,2,4492,Cloudy
145,2011-05-25,2,0,5,0,3,1,1,4978,Clear
146,2011-05-26,2,0,5,0,4,1,1,4677,Clear
147,2011-05-27,2,0,5,0,5,1,1,4679,Clear
148,2011-05-28,2,0,5,0,6,0,1,4758,Clear
149,2011-05-29,2,0,5,0,0,0,1,4788,Clear
150,2011-05-30,2,0,5,1,1,0,1,4098,Clear
151,2011-05-31,2,0,5,0,2,1,1,3982,Clear
152,2011-06-01,2,0,6,0,3,1,2,3974,Cloudy
153,2011-06-02,2,0,6,0,4,1,1,4968,Clear
154,2011-06-03,2,0,6,0,5,1,1,5312,Clear
155,2011-06-04,2,0,6,0,6,0,1,5342,Clear
156,2011-06-05,2,0,6,0,0,0,2,4906,Cloudy
157,2011-06-06,2,0,6,0,1,1,1,4548,Clear
158,2011-06-07,2,0,6,0,2,1,1,4833,Clear
159,2011-06-08,2,0,6,0,3,1,1,4401,Clear
160,2011-06-09,2,0,6,0,4,1,2,3915,Cloudy
161,2011-06-10,2,0,6,0,5,1,1,4586,Clear
162,2011-06-11,2,0,6,0,6,0,1,4966,Clear
163,2011-06-12,2,0,6,0,0,0,1,4460,Clear
164,2011-06-13,2,0,6,0,1,1,1,5020,Clear
165,2011-06-14,2,0,6,0,2,1,1,4891,Clear
166,2011-06-15,2,0,6,0,3,1,1,5180,Clear
167,2011-06-16,2,0,6,0,4,1,2,3767,Cloudy
168,2011-06-17,2,0,6,0,5,1,1,4844,Clear
169,2011-06-18,2,0,6,0,6,0,1,5119,Clear
170,2011-06-19,2,0,6,0,0,0,2,4744,Cloudy
171,2011-06-20,2,0,6,0,1,1,2,4010,Cloudy
172,2011-06-21,3,0,6,0,2,1,2,4835,Cloudy
173,2011-06-22,3,0,6,0,3,1,1,4507,Clear
174,2011-06-23,3,0,6,0,4,1,2,4790,Cloudy
175,2011-06-24,3,0,6,0,5,1,1,4991,Clear
176,2011-06-25,3,0,6,0,6,0,1,5202,Clear
177,2011-06-26,3,0,6,0,0,0,1,5305,Clear
178,2011-06-27,3,0,6,0,1,1,2,4708,Cloudy
179,2011-06-28,3,0,6,0,2,1,1,4648,Clear
180,2011-06-29,3,0,6,0,3,1,1,5225,Clear
181,2011-06-30,3,0,6,0,4,1,1,5515,Clear
182,2011-07-01,3,0,7,0,5,1,1,5362,Clear
183,2011-07-02,3,0,7,0,6,0,1,5119,Clear
184,2011-07-03,3,0,7,0,0,0,2,4649,Cloudy
185,2011-07-04,3,0,7,1,1,0,2,6043,Cloudy
186,2011-07-05,3,0,7,0,2,1,1,4665,Clear
187,2011-07-06,3,0,7,0,3,1,1,4629,Clear
188,2011-07-07,3,0,7,0,4,1,1,4592,Clear
189,2011-07-08,3,0,7,0,5,1,2,4040,Cloudy
190,2011-07-09,3,0,7,0,6,0,1,5336,Clear
191,2011-07-10,3,0,7,0,0,0,1,4881,Clear
192,2011-07-11,3,0,7,0,1,1,1,4086,Clear
193,2011-07-12,3,0,7,0,2,1,1,4258,Clear
194,2011-07-13,3,0,7,0,3,1,1,4342,Clear
195,2011-07-14,3,0,7,0,4,1,1,5084,Clear
196,2011-07-15,3,0,7,0,5,1,1,5538,Clear
197,2011-07-16,3,0,7,0,6,0,1,5923,Clear
198,2011-07-17,3,0,7,0,0,0,1,5302,Clear
199,2011-07-18,3,0,7,0,1,1,1,4458,Clear
200,2011-07-19,3,0,7,0,2,1,1,4541,Clear
201,2011-07-20,3,0,7,0,3,1,1,4332,Clear
202,2011-07-21,3,0,7,0,4,1,2,3784,Cloudy
203,2011-07-22,3,0,7,0,5,1,1,3387,Clear
204,2011-07-23,3,0,7,0,6,0,1,3285,Clear
205,2011-07-24,3,0,7,0,0,0,1,3606,Clear
206,2011-07-25,3,0,7,0,1,1,1,3840,Clear
207,2011-07-26,3,0,7,0,2,1,1,4590,Clear
208,2011-07-27,3,0,7,0,3,1,1,4656,Clear
209,2011-07-28,3,0,7,0,4,1,1,4390,Clear
210,2011-07-29,3,0,7,0,5,1,1,3846,Clear
211,2011-07-30,3,0,7,0,6,0,1,4475,Clear
212,2011-07-31,3,0,7,0,0,0,1,4302,Clear
213,2011-08-01,3,0,8,0,1,1,1,4266,Clear
214,2011-08-02,3,0,8,0,2,1,1,4845,Clear
215,2011-08-03,3,0,8,0,3,1,2,3574,Cloudy
216,2011-08-04,3,0,8,0,4,1,2,4576,Cloudy
217,2011-08-05,3,0,8,0,5,1,1,4866,Clear
218,2011-08-06,3,0,8,0,6,0,2,4294,Cloudy
219,2011-08-07,3,0,8,0,0,0,1,3785,Clear
220,2011-08-08,3,0,8,0,1,1,1,4326,Clear
221,2011-08-09,3,0,8,0,2,1,1,4602,Clear
222,2011-08-10,3,0,8,0,3,1,1,4780,Clear
223,2011-08-11,3,0,8,0,4,1,1,4792,Clear
224,2011-08-12,3,0,8,0,5,1,1,4905,Clear
225,2011-08-13,3,0,8,0,6,0,2,4150,Cloudy
226,2011-08-14,3,0,8,0,0,0,2,3820,Cloudy
227,2011-08-15,3,0,8,0,1,1,1,4338,Clear
228,2011-08-16,3,0,8,0,2,1,1,4725,Clear
229,2011-08-17,3,0,8,0,3,1,1,4694,Clear
230,2011-08-18,3,0,8,0,4,1,1,3805,Clear
231,2011-08-19,3,0,8,0,5,1,2,4153,Cloudy
232,2011-08-20,3,0,8,0,6,0,1,5191,Clear
233,2011-08-21,3,0,8,0,0,0,1,3873,Clear
234,2011-08-22,3,0,8,0,1,1,1,4758,Clear
235,2011-08-23,3,0,8,0,2,1,1,5895,Clear
236,2011-08-24,3,0,8,0,3,1,1,5130,Clear
237,2011-08-25,3,0,8,0,4,1,2,3542,Cloudy
238,2011-08-26,3,0,8,0,5,1,1,4661,Clear
239,2011-08-27,3,0,8,0,6,0,2,1115,Cloudy
240,2011-08-28,3,0,8,0,0,0,1,4334,Clear
241,2011-08-29,3,0,8,0,1,1,1,4634,Clear
242,2011-08-30,3,0,8,0,2,1,1,5204,Clear
243,2011-08-31,3,0,8,0,3,1,1,5058,Clear
244,2011-09-01,3,0,9,0,4,1,1,5115,Clear
245,2011-09-02,3,0,9,0,5,1,2,4727,Cloudy
246,2011-09-03,3,0,9,0,6,0,1,4484,Clear
247,2011-09-04,3,0,9,0,0,0,1,4940,Clear
248,2011-09-05,3,0,9,1,1,0,2,3351,Cloudy
249,2011-09-06,3,0,9,0,2,1,3,2710,Light Snow/Rain
250,2011-09-07,3,0,9,0,3,1,3,1996,Light Snow/Rain
251,2011-09-08,3,0,9,0,4,1,3,1842,Light Snow/Rain
252,2011-09-09,3,0,9,0,5,1,2,3544,Cloudy
253,2011-09-10,3,0,9,0,6,0,1,5345,Clear
254,2011-09-11,3,0,9,0,0,0,1,5046,Clear
255,2011-09-12,3,0,9,0,1,1,1,4713,Clear
256,2011-09-13,3,0,9,0,2,1,1,4763,Clear
257,2011-09-14,3,0,9,0,3,1,1,4785,Clear
258,2011-09-15,3,0,9,0,4,1,2,3659,Cloudy
259,2011-09-16,3,0,9,0,5,1,2,4760,Cloudy
260,2011-09-17,3,0,9,0,6,0,2,4511,Cloudy
261,2011-09-18,3,0,9,0,0,0,1,4274,Clear
262,2011-09-19,3,0,9,0,1,1,2,4539,Cloudy
263,2011-09-20,3,0,9,0,2,1,2,3641,Cloudy
264,2011-09-21,3,0,9,0,3,1,2,4352,Cloudy
265,2011-09-22,3,0,9,0,4,1,2,4795,Cloudy
266,2011-09-23,4,0,9,0,5,1,2,2395,Cloudy
267,2011-09-24,4,0,9,0,6,0,2,5423,Cloudy
268,2011-09-25,4,0,9,0,0,0,2,5010,Cloudy
269,2011-09-26,4,0,9,0,1,1,2,4630,Cloudy
270,2011-09-27,4,0,9,0,2,1,2,4120,Cloudy
271,2011-09-28,4,0,9,0,3,1,2,3907,Cloudy
272,2011-09-29,4,0,9,0,4,1,1,4839,Clear
273,2011-09-30,4,0,9,0,5,1,1,5202,Clear
274,2011-10-01,4,0,10,0,6,0,2,2429,Cloudy
275,2011-10-02,4,0,10,0,0,0,2,2918,Cloudy
276,2011-10-03,4,0,10,0,1,1,2,3570,Cloudy
277,2011-10-04,4,0,10,0,2,1,1,4456,Clear
278,2011-10-05,4,0,10,0,3,1,1,4826,Clear
279,2011-10-06,4,0,10,0,4,1,1,4765,Clear
280,2011-10-07,4,0,10,0,5,1,1,4985,Clear
281,2011-10-08,4,0,10,0,6,0,1,5409,Clear
282,2011-10-09,4,0,10,0,0,0,1,5511,Clear
283,2011-10-10,4,0,10,1,1,0,1,5117,Clear
284,2011-10-11,4,0,10,0,2,1,2,4563,Cloudy
285,2011-10-12,4,0,10,0,3,1,3,2416,Light Snow/Rain
286,2011-10-13,4,0,10,0,4,1,2,2913,Cloudy
287,2011-10-14,4,0,10,0,5,1,2,3644,Cloudy
288,2011-10-15,4,0,10,0,6,0,1,5217,Clear
289,2011-10-16,4,0,10,0,0,0,1,5041,Clear
290,2011-10-17,4,0,10,0,1,1,1,4570,Clear
291,2011-10-18,4,0,10,0,2,1,2,4748,Cloudy
292,2011-10-19,4,0,10,0,3,1,3,2424,Light Snow/Rain
293,2011-10-20,4,0,10,0,4,1,1,4195,Clear
294,2011-10-21,4,0,10,0,5,1,1,4304,Clear
295,2011-10-22,4,0,10,0,6,0,1,4308,Clear
296,2011-10-23,4,0,10,0,0,0,1,4381,Clear
297,2011-10-24,4,0,10,0,1,1,1,4187,Clear
298,2011-10-25,4,0,10,0,2,1,1,4687,Clear
299,2011-10-26,4,0,10,0,3,1,2,3894,Cloudy
300,2011-10-27,4,0,10,0,4,1,2,2659,Cloudy
301,2011-10-28,4,0,10,0,5,1,2,3747,Cloudy
302,2011-10-29,4,0,10,0,6,0,3,627,Light Snow/Rain
303,2011-10-30,4,0,10,0,0,0,1,3331,Clear
304,2011-10-31,4,0,10,0,1,1,1,3669,Clear
305,2011-11-01,4,0,11,0,2,1,1,4068,Clear
306,2011-11-02,4,0,11,0,3,1,1,4186,Clear
307,2011-11-03,4,0,11,0,4,1,1,3974,Clear
308,2011-11-04,4,0,11,0,5,1,2,4046,Cloudy
309,2011-11-05,4,0,11,0,6,0,1,3926,Clear
310,2011-11-06,4,0,11,0,0,0,1,3649,Clear
311,2011-11-07,4,0,11,0,1,1,1,4035,Clear
312,2011-11-08,4,0,11,0,2,1,1,4205,Clear
313,2011-11-09,4,0,11,0,3,1,1,4109,Clear
314,2011-11-10,4,0,11,0,4,1,2,2933,Cloudy
315,2011-11-11,4,0,11,1,5,0,1,3368,Clear
316,2011-11-12,4,0,11,0,6,0,1,4067,Clear
317,2011-11-13,4,0,11,0,0,0,1,3717,Clear
318,2011-11-14,4,0,11,0,1,1,1,4486,Clear
319,2011-11-15,4,0,11,0,2,1,2,4195,Cloudy
320,2011-11-16,4,0,11,0,3,1,3,1817,Light Snow/Rain
321,2011-11-17,4,0,11,0,4,1,2,3053,Cloudy
322,2011-11-18,4,0,11,0,5,1,1,3392,Clear
323,2011-11-19,4,0,11,0,6,0,1,3663,Clear
324,2011-11-20,4,0,11,0,0,0,2,3520,Cloudy
325,2011-11-21,4,0,11,0,1,1,3,2765,Light Snow/Rain
326,2011-11-22,4,0,11,0,2,1,3,1607,Light Snow/Rain
327,2011-11-23,4,0,11,0,3,1,2,2566,Cloudy
328,2011-11-24,4,0,11,1,4,0,1,1495,Clear
329,2011-11-25,4,0,11,0,5,1,1,2792,Clear
330,2011-11-26,4,0,11,0,6,0,1,3068,Clear
331,2011-11-27,4,0,11,0,0,0,1,3071,Clear
332,2011-11-28,4,0,11,0,1,1,1,3867,Clear
333,2011-11-29,4,0,11,0,2,1,2,2914,Cloudy
334,2011-11-30,4,0,11,0,3,1,1,3613,Clear
335,2011-12-01,4,0,12,0,4,1,1,3727,Clear
336,2011-12-02,4,0,12,0,5,1,1,3940,Clear
337,2011-12-03,4,0,12,0,6,0,1,3614,Clear
338,2011-12-04,4,0,12,0,0,0,1,3485,Clear
339,2011-12-05,4,0,12,0,1,1,2,3811,Cloudy
340,2011-12-06,4,0,12,0,2,1,3,2594,Light Snow/Rain
341,2011-12-07,4,0,12,0,3,1,3,705,Light Snow/Rain
342,2011-12-08,4,0,12,0,4,1,1,3322,Clear
343,2011-12-09,4,0,12,0,5,1,1,3620,Clear
344,2011-12-10,4,0,12,0,6,0,1,3190,Clear
345,2011-12-11,4,0,12,0,0,0,1,2743,Clear
346,2011-12-12,4,0,12,0,1,1,1,3310,Clear
347,2011-12-13,4,0,12,0,2,1,1,3523,Clear
348,2011-12-14,4,0,12,0,3,1,2,3740,Cloudy
349,2011-12-15,4,0,12,0,4,1,2,3709,Cloudy
350,2011-12-16,4,0,12,0,5,1,2,3577,Cloudy
351,2011-12-17,4,0,12,0,6,0,2,2739,Cloudy
352,2011-12-18,4,0,12,0,0,0,1,2431,Clear
353,2011-12-19,4,0,12,0,1,1,1,3403,Clear
354,2011-12-20,4,0,12,0,2,1,2,3750,Cloudy
355,2011-12-21,1,0,12,0,3,1,2,2660,Cloudy
356,2011-12-22,1,0,12,0,4,1,2,3068,Cloudy
357,2011-12-23,1,0,12,0,5,1,1,2209,Clear
358,2011-12-24,1,0,12,0,6,0,1,1011,Clear
359,2011-12-25,1,0,12,0,0,0,1,754,Clear
360,2011-12-26,1,0,12,1,1,0,1,1317,Clear
361,2011-12-27,1,0,12,0,2,1,2,1162,Cloudy
362,2011-12-28,1,0,12,0,3,1,1,2302,Clear
363,2011-12-29,1,0,12,0,4,1,1,2423,Clear
364,2011-12-30,1,0,12,0,5,1,1,2999,Clear
